product_id,product_name,category,price,quantity,sale_date,customer_id
P001,삼성 갤럭시 S24,전자제품,1200000,2,2025-03-15,C1001
P002,LG 올레드 TV,전자제품,2500000,1,2025-03-16,C1002
P003,애플 맥북 프로,전자제품,3000000,1,2025-03-17,C1003
P004,이케아 책상,가구,150000,3,2025-03-18,C1004
P005,한샘 침대,가구,800000,1,2025-03-19,C1005
P006,나이키 운동화,의류,120000,2,2025-03-20,C1006
P007,아디다스 트레이닝복,의류,85000,3,2025-03-21,C1007
P008,해태 허니버터칩,식품,1500,10,2025-03-22,C1008
P009,코카콜라 1.5L,식품,2500,5,2025-03-23,C1009
P010,대한민국 역사,도서,25000,2,2025-03-24,C1010
P011,Python 프로그래밍,도서,35000,1,2025-03-25,C1011
P012,샤오미 로봇청소기,전자제품,450000,1,2025-03-26,C1012
P013,쿠쿠 압력밥솥,전자제품,250000,2,2025-03-27,C1013
P014,체어클럽 의자,가구,120000,4,2025-03-28,C1014
P015,한섬 코트,의류,350000,1,2025-03-29,C1015
P016,농심 신라면,식품,800,20,2025-03-30,C1016
P017,정관장 홍삼,식품,85000,2,2025-03-31,C1017
P018,경영학 원론,도서,30000,1,2025-04-01,C1018
P019,칼하트 후드티,의류,95000,2,2025-04-02,C1019
P020,필립스 전기면도기,전자제품,85000,1,2025-04-03,C1020
